Textos_espanol,sdg
"Además, analiza la planificación del uso de los recursos (p. ej., definición de prioridades y objetivos, distribución de responsabilidades para la financiación escolar), el seguimiento del uso de los fondos (p. ej., sistemas de auditoría), la transparencia y la presentación de informes, así como los incentivos para el uso eficaz. de financiación escolar. Además, analiza la distribución de la financiación entre los diferentes niveles de la administración (por ejemplo, central, regional y municipal) y entre escuelas individuales (por ejemplo, a través de fórmulas de financiación). Además, el capítulo pone especial énfasis en los incentivos de financiación para mejorar la eficacia de la red escolar mientras analiza las implicaciones de equidad de los enfoques de financiación. Tanto la fuente de financiación de la educación escolar como su distribución a las escuelas individuales están centralizadas: el gobierno central proporciona alrededor del 70% de la financiación y la fórmula operada por el Ministerio de Educación determina los presupuestos de las escuelas individuales, con un margen limitado para la variación determinada localmente.",4
"También puede reducir el tiempo que pasan en el hospital después de un problema médico. Si los roles de género convencionales y la falta de alternativas públicas continúan prevaleciendo, las mujeres pueden encontrar sus opciones cada vez más restringidas. En países con servicios de salud débiles, la carga a menudo recae en los cuidadores que trabajan en silencio dentro del hogar. En estas circunstancias, se espera que las personas se sacrifiquen por sus familias y comunidades, incluso poniendo en riesgo su propio bienestar. Los roles tradicionales diferenciados por género dan como resultado una mayor restricción de opciones para las mujeres, a menudo mayor para los pobres, que son los que menos pueden pagarlos.",5
"Las mujeres también constituyen la mayor parte de la fuerza laboral en el sector formal de atención de la salud (Recuadro 22.1). Quedan excluidas las personas a cargo de sus hijos, hijastros, sobrinas o sobrinos. El gasto público en cuidados de larga duración se utiliza como indicador de la protección social: >1 % del PIB = “protección social baja”, 1-2 % del PIB = “media”, >2 % del PIB = “alta” €.",5
"Las leyes deberÃan facultar a los organismos de gestiÃ³n electoral para exigir la rendiciÃ³n de cuentas sobre parÃ¡metros clave, incluida la representaciÃ³n de las mujeres como candidatas y lÃderes de partido. Las leyes tambiÃ©n deberÃan garantizar una independencia adecuada de los organismos de gestiÃ³n electoral y exigir la paridad de gÃ©nero en la composiciÃ³n del personal clave de gestiÃ³n electoral. Esto ayudarÃ¡ a hacer un seguimiento del progreso y documentar el cumplimiento de las normas nacionales e internacionales.",5
"Sin embargo, otros países también presentan argumentos económicos de peso para un uso más eficaz de la oferta de mano de obra femenina. Un escenario sin cambios: las tasas de participación masculina y femenina se mantienen en sus niveles de 2010 durante todo el periodo. Convergencia de las tasas de participación: la tasa de participación masculina se mantiene constante en su nivel de 2010, mientras que la tasa de participación femenina aumenta a lo largo del periodo para converger con la masculina en 2030.",5
La elección de escuela puede aumentar aún más las desigualdades si no existen mecanismos para disminuir los efectos negativos. Los estudiantes checos que tienen dificultades en la escuela a menudo son enviados a escuelas especiales con planes de estudios reducidos. Transmitir a los estudiantes en función de la capacidad académica y el seguimiento temprano puede afectar negativamente sus resultados educativos si las vías educativas no brindan altos estándares curriculares y oportunidades para la transferencia entre las vías.,4
"Las mujeres autónomas suelen ganar entre un 30 y un 40% menos que sus homólogos masculinos. Dos diferencias clave entre empresarios y empresarias ayudan a explicar estos rendimientos relativamente bajos: las mujeres ponen en marcha sus empresas con una experiencia de gestión limitada y dedican mucho menos tiempo a sus negocios que los hombres. Existe una clara necesidad de proporcionar más y mejor información sobre el espíritu empresarial como una opción profesional atractiva, tanto para las mujeres jóvenes en la escuela como para las mujeres fuera de la fuerza de trabajo que están considerando iniciar o reincorporarse al trabajo.",5
"Además, como ya se ha mencionado, se espera que una ratificación más temprana de la CEDAW esté positivamente correlacionada con la igualdad de género. Por último, un mayor acceso a la educación constituye una forma de alejarse de la discriminación de género. Por lo tanto, estudiar el efecto de la migración en la desigualdad de género plantea problemas de endogeneidad.",5
"Se espera que la nueva lista de precios de productos farmacéuticos de julio de 2017 (ver Sección 5.2) reduzca los costos tanto públicos como privados. Identifican prioridades clave y establecen planes de implementación. Sin embargo, a pesar de que se han hecho esfuerzos recientes para incluir indicadores significativos para medir el progreso, el monitoreo y la evaluación regulares de las reformas implementadas son limitados. Además, se han realizado pocas evaluaciones independientes del desempeño del sistema de salud. La esperanza de vida de los hombres es más de 10 años inferior a la de las mujeres, la mayor brecha de género en la UE.",3
"En el nuevo sistema de evaluación de la calidad, los aspectos del mercado laboral son bastante destacados, lo que se manifiesta en la creciente importancia de las encuestas de ex alumnos y la composición de paneles de evaluación (externos) (Hogskoleverket, 2011). Por ejemplo, el ranking Times Higher-QS World University adopta la empleabilidad de los graduados como uno de los indicadores, sin embargo, esto representa solo el 10% del ranking general, un impacto que es insignificante en comparación con el alto peso otorgado a la calidad de la investigación (De Weert, 2011). La percepción de que la demanda de habilidades está cambiando rápidamente en los países de la OCDE ha estimulado los intentos de predecir qué sectores y ocupaciones tienen más probabilidades de expandirse en los próximos años.",4
"La segunda -la práctica docente principal- tiene lugar sobre todo en Escuelas de Formación del Profesorado especiales regidas por las universidades, que tienen planes de estudios y prácticas similares a los de las escuelas públicas normales. Algunos estudiantes de magisterio también realizan prácticas en una red de Escuelas de Campo seleccionadas (escuelas públicas normales). Los estudiantes de magisterio de primaria dedican aproximadamente el 15% de su tiempo de estudio previsto a la enseñanza práctica en escuelas. En la formación de profesores de asignaturas, la enseñanza práctica comprende aproximadamente un tercio del plan de estudios.",4
El compromiso efectivo también implica que los propios procesos participativos deben ser accesibles y sensibles al género (ver también el estudio de caso 1 sobre Brasil y el estudio de caso 6 sobre Ruanda). Las cuotas destinadas a apoyar la participación de las mujeres también deben cumplirse adecuadamente. Las mujeres afrobrasileñas representan a las más pobres y son la mayoría de las que viven en la pobreza. Los asentamientos informales cubren vastas áreas de la ciudad.,5
"Student Loans Company es una agencia de propiedad del gobierno que se estableció en 1989 y es responsable de administrar todos los préstamos y subvenciones a estudiantes en universidades y colegios en el Reino Unido. En los últimos años, el Reino Unido se ha alejado de las subvenciones y se ha inclinado hacia los préstamos condicionados a los ingresos para estudiantes, principalmente debido a su menor costo público (Figura 3.1). En relación con las subvenciones, los préstamos también pueden hacer que los estudiantes respondan mejor a las señales del mercado en la selección de su título, ya que la mayoría de los estudiantes finalmente deben devolver el dinero, a diferencia de las subvenciones. En 2015, el gobierno anunció que pondría fin a las subvenciones para estudiantes de hogares de bajos ingresos, pero aumentaría el apoyo financiero total a través de préstamos condicionados a los ingresos.",4
"Entre los adultos jóvenes menores de 50 años, el aumento de las tasas de mortalidad por envenenamiento accidental (una gran proporción de las cuales se debieron al uso indebido de drogas) aumentó las tasas generales de mortalidad a estas edades durante 2011-16, lo que tuvo una pequeña contribución negativa a los cambios en la esperanza de vida al nacer en Inglaterra. (PHE, 2018c, ONS, 2018d). Los niveles altos o crecientes de mortalidad por sobredosis de drogas son evidentes en varios países de altos ingresos (por ejemplo, el Reino Unido, Suecia, Canadá, Australia), aunque no se acercan a los niveles de los EE. UU. (Ho y Hendi, 2018). En los EE. UU., las tasas de mortalidad en rápido aumento por la crisis de sobredosis de drogas a gran escala entre hombres y mujeres jóvenes, y por lesiones no intencionales en general, contribuyen significativamente a la caída de la esperanza de vida (Recuadro 6.2) (Sherry et al, 2018). La ""crisis"" de los opiáceos en EE. UU. incluye el uso tanto de opiáceos ilegales como de analgésicos a base de opiáceos recetados. Canadá también está experimentando una grave crisis de opioides, especialmente entre los adultos jóvenes y de mediana edad, lo que está ralentizando las mejoras en la esperanza de vida (Gobierno de Canadá, 2018).",3
"Esta asignación se otorga a los docentes de escuelas aisladas, rurales, culturalmente diversas y desfavorecidas (véase el Capítulo 5). Los líderes escolares que trabajan en escuelas con una alta concentración de estudiantes vulnerables también reciben una compensación mayor (véase el Capítulo 4) (MINEDUC, ACE y ES, 2016). Las escuelas privadas subvencionadas pueden cobrar derechos de matrícula a las familias a través del sistema de financiación compartida (véase el capítulo 2).",4
"Dentro del sistema de salud existen dos modelos diferentes para evaluar el constructo “funcionamiento/discapacidad”: el enfoque de “actividades de la vida diaria (AVD)” (o modelo de Katz/Barthel), y el enfoque de “Funcionamiento” (ICF) desarrollado por la OMS. El ICF fue desarrollado para proporcionar un marco más integral, basado en la visión de una condición de salud o enfermedad como la interacción de la función y las estructuras corporales, las actividades y la participación, que a su vez se ven afectadas por factores sociales y ambientales. También se destaca la importancia de la participación como resultado (OMS, 2001).",3
"En este artículo, Clas Rehnberg y Unto Hakkinen presentan y discuten los hallazgos de la colaboración nórdica sobre las diferencias de productividad en los hospitales de agudos. Dado que los cuatro países comparten muchas herramientas administrativas y utilizan estándares comunes para la recopilación de datos, es posible realizar comparaciones únicas entre países. Los resultados sugieren que hay una productividad hospitalaria promedio notablemente más alta en Finlandia en comparación con Dinamarca, Noruega y Suecia.",3
"Mientras que el primero abarca ""la atenciÃ³n y el tratamiento de los delincuentes con trastornos mentales"" (SOU 2006:91), el otro se centra en el desarrollo de la psiquiatrÃa en general (SOU 2006:100). El segundo informe, centrado en las necesidades de desarrollo en el campo de la psiquiatría, hacía varias propuestas. Por ejemplo, sugería que el gobierno financie y ""apoye a los condados locales para establecer viviendas sensibles a las necesidades de varios subgrupos de personas con trastornos mentales"".",3
"Estas declaraciones establecen lo que las universidades y colegios ofrecen a sus estudiantes para apoyar su empleabilidad y transición al empleo y más allá (http://www.hefce.ac.uk/). El sistema de evaluación se centra esencialmente en medir hasta qué punto se logran los resultados de aprendizaje previstos en términos de tres conceptos principales: i) conocimiento y comprensión; ii) competencia y habilidades, y iii) juicio. La descripción de los resultados del aprendizaje y las cualificaciones profesionales surgen en estrecha cooperación con las asociaciones profesionales.",4
"Estas son estructuras nuevas y será esencial garantizar que se produzca un diálogo efectivo entre las agencias de salud pública centrales y provinciales, los hospitales y los sindicatos de hospitales, para garantizar que se satisfagan las necesidades locales de salud. Sin embargo, actualmente no existe un informe sistemático de eventos adversos, lo que podría ser un área para consideración futura. Hasta ahora, el enfoque se ha centrado en los componentes estructurales y organizacionales de los hospitales, y parece aconsejable ampliar el programa hacia los resultados clínicos de los servicios de atención médica para que el modelo sea más útil para funciones formativas, como las iniciativas de mejora de la calidad dentro de los hospitales. El Departamento de Calidad y Acreditación de la Atención Médica y el Instituto de Hospitales Públicos deben liderar el desarrollo de un sistema de información y aprendizaje. El fortalecimiento de la participación de todas las partes interesadas en el proceso de establecimiento de normas y una mayor transparencia en el proceso de evaluación y puntuación también ayudaría a aumentar aún más la aceptabilidad y el impacto del programa. Es preocupante que en la actualidad existan fuertes desacuerdos entre la profesión (Asociación Médica Turca, Asociación de Enfermeras, Asociación de Matronas) y el gobierno sobre las funciones y responsabilidades mutuas.",3
"Esto se estableció en la Declaración de los Derechos Humanos de las Naciones Unidas de 1948 (artículo 26) y se repitió en la Convención de las Naciones Unidas sobre los Derechos del Niño de 1989 (artículo 28). El informe de la Comisión de Respeto y Comprensión de la Commonwealth, presidida por Amartya Sen, ha llamado más la atención sobre este asunto (Sen, 2007). La educación básica también es ampliamente aceptada en la literatura internacional y el discurso político como esencial para el desarrollo y la reducción de la pobreza (ver, por ejemplo, Lee, 2004, Cohen et al.,",4
"Por lo tanto, el artículo 11 (1) de la CEDAW requiere que los Estados solo aseguren los ""mismos"" derechos para mujeres y hombres en relación con los derechos al trabajo, a las oportunidades de empleo, a la libre elección de profesión, promoción, seguridad laboral y capacitación. a la igualdad de remuneración, a la seguridad social ya la protección de la salud y la seguridad en el trabajo, incluida la protección de la reproducción. El artículo 3 del Pacto Internacional de Derechos Civiles y Políticos simplemente requiere que los Estados partes “garanticen la igualdad de derechos de hombres y mujeres al disfrute de todos los derechos civiles y políticos establecidos en el presente Pacto”. Sin embargo, ahora está bien establecido que es poco probable que el mismo tratamiento para hombres y mujeres produzca cambios. Por lo tanto, para abordar la desigualdad de las mujeres, es necesario centrarse en la especificidad de la desventaja de las mujeres, particularmente reconociendo el vínculo entre la discriminación en el hogar y la discriminación en el trabajo y el grado en que la responsabilidad principal de las mujeres en el cuidado de los niños y la el trabajo no remunerado en el hogar impacta en su capacidad para acceder a un trabajo remunerado de buena calidad.",5
"Polonia también tuvo uno de los mayores aumentos en la matriculación en la educación a los 3 y 4 años entre 2005 y 2013 entre los países con datos disponibles, aunque sigue estando por debajo de la media de la OCDE. Aproximadamente el 52% de los niños de 3 años y el 66% de los niños de 4 años están matriculados en la educación, en comparación con una media de la OCDE del 74% y el 88%, respectivamente. Entre los países de la OCDE, Polonia tiene una mayor proporción de niños por profesor en la enseñanza preescolar: 16, frente a los 14 de media en otros países de la OCDE.",4
"El recorte de la pensión de supervivencia puede dar lugar a una protección efectivamente menor para las mujeres en un contexto en el que sus derechos individuales de pensión no siempre están garantizados. En países como Austria, Alemania y España, las mujeres viudas obtienen la mayor parte de sus ingresos de las pensiones de supervivencia (Ahn 2004: Tabla 6). Algunos países disponen de mecanismos para proteger los derechos de pensión tras el divorcio (Choi 2006: 24-25).",5
"Mientras tanto, con el apoyo del Commonwealth Education Fund, ACAMO se propuso desarrollar un plan de estudios para niños con necesidades especiales y llamar la atención del Ministerio de Educación. Desafortunadamente, el trabajo en un nuevo plan de estudios no se completó debido a la falta de fondos de CEF. A nivel de políticas, ACAMO participó en la preparación del plan anual de Mozambique para necesidades educativas especiales. Solo hay cinco escuelas especiales en el país y esto debería aprovecharse como una oportunidad para desarrollar una educación inclusiva, no para construir más, como en los programas de ayuda de los donantes.",4
"Los salarios de los profesionales de la salud son bajos en comparación internacional. En 2009, como múltiplos del salario medio, los salarios de médicos de cabecera (1,4), especialistas (1,6) y enfermeras de hospitales (0,8) se encontraban entre los más bajos de la OCDE. La proporción de médicos mayores de 55 años era de alrededor del 40% en 2009, muy por encima del promedio de la OCDE de alrededor del 30% (Figura 4.8). El agregado de la OCDE es un promedio no ponderado de datos de 27 países de la OCDE.",3
"Varias organizaciones gubernamentales y de la sociedad civil participan activamente en la sensibilización sobre la legislación pertinente y brindan asesoramiento legal al respecto” (CEDAW, 2012). Tal procedimiento podría garantizar a las mujeres un mayor acceso a los activos financieros. La tierra también se puede dividir entre herederos varones antes de que el padre muera, ya que es posible hacer legados y donaciones en vida. Luego se presiona a las mujeres para que no reclamen su parte.",5
"Si bien las habilidades de ""aprender a aprender"" son importantes, siempre aprendemos aprendiendo algo. Sin embargo, el éxito en la educación ya no se trata de reproducir el conocimiento del contenido, sino de extrapolar lo que sabemos y aplicar ese conocimiento de manera creativa en situaciones novedosas, también se trata de pensar más allá de los límites de las disciplinas. Todo el mundo puede buscar, y por lo general encontrar, información en Internet, las recompensas ahora se acumulan para aquellos que saben qué hacer con ese conocimiento.",4
